metadata,prediction
chromosome:GRCh38:19:10144450:10145050:-1,0.5862294
chromosome:GRCh38:8:141556250:141557450:-1,0.58351374
chromosome:GRCh38:7:5833600:5834650:-1,0.71028143
chromosome:GRCh38:1:143215900:143216650:-1,0.99886197
chromosome:GRCh38:5:7323150:7323650:-1,0.6966865
chromosome:GRCh38:5:4559150:4559550:-1,0.47988963
chromosome:GRCh38:3:141172600:141172950:-1,0.73704684
chromosome:GRCh38:5:38695850:38696950:-1,0.4677108
chromosome:GRCh38:5:19024800:19025400:-1,0.6624068
chromosome:GRCh38:X:15610900:15611300:-1,0.49596256
