Label,TriplexCL,TriplexFPP
chromosome:GRCh38:19:10144450:10145050:-1,0.691854,0.9149838
chromosome:GRCh38:8:141556250:141557450:-1,0.68687344,0.7988202
chromosome:GRCh38:7:5833600:5834650:-1,0.9028571,0.9907315
chromosome:GRCh38:1:143215900:143216650:-1,0.99998236,0.8420741
chromosome:GRCh38:5:7323150:7323650:-1,0.8948073,1.1051453
chromosome:GRCh38:5:4559150:4559550:-1,0.54692966,0.563121
chromosome:GRCh38:3:141172600:141172950:-1,0.9414488,1.0868022
chromosome:GRCh38:5:38695850:38696950:-1,0.5723682,0.59558254
chromosome:GRCh38:5:19024800:19025400:-1,0.8222191,0.8847707
chromosome:GRCh38:X:15610900:15611300:-1,0.6033875,0.63859826
